univName,link,univRequirementDetail,univCourse,toefl,ielts,det,awardee
University College Dublin,https://iisma.kemdikbud.go.id/info/48-university-college-dublin/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 (no band score less than 6) TOEFL iBT: 90 (minimum 19 for reading, 21 for writing, 19 for listening, 19 for speaking) Duolingo English Test: 120 (no component less than 110) ","['Dublin: Its Museums and Collections', 'Perspectives on Irish Art', ""Discovering Ireland's Landscape "", 'Intro to Celtic Civilization', 'Vikings in the Celtic World', 'Kings and Heroes of Early Irl', 'UCD Gamelan Ensemble 1', 'Contemporary Ireland On Stage', 'Contemporary Irish Writing', 'Introduction to Film and Media', ""Discovering Ireland's Geology"", 'Irish for Beginners', 'Introduction to Folklore ', 'Music in Ireland', 'Digital Media & Everyday Experiences']",90,6.5,120,No awardee details
University College Cork &#8211; National University of Ireland,https://iisma.kemdikbud.go.id/info/33-university-college-cork/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 90 Duolingo English Test: 120 ,"['Digital Humanities: Theories and Concepts I', 'Digital Humanities: Tools and Methods I', 'Data and Digital Literacy', 'Introduction to Screen Media and Cinema', 'Analytical Thinking Skills in Political Science', 'Introduction to Sociology', 'Tales of Kings and Heroes in Medieval Ireland', 'Model European Union', 'The History of Art – History and Method', 'Modern Ireland: Culture, Politics and Society', 'Irish Film History', 'International Relations', 'Psychology and Everyday Life', 'Reasoning and Argument', 'Social Policy Analysis', 'Micro-Finance and Development', 'Cognitive Psychology: New Perspectives']",90,6,120,No awardee details
University of Glasgow,https://iisma.kemdikbud.go.id/info/22-university-of-glasgow/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6  TOEFL iBT: 80  Duolingo English Test: not acceptedNever had TB/TBC infection ,"['Exploring the Cosmos', 'Earth Science 1A', 'Science Fundamentals', 'Geography-living in a Changing World', 'Digital Media and Information Studies 1A', 'Advanced Introduction to Individual Differences and Developmental Psychology', 'Computing Science - ICT Introduction to Computational Thinking', 'Archaeology 2A: 20 Things that Changed the World', 'Comparative Literature 2A - Frontiers (Crossing Borders)', 'Introduction to Scottish Culture', 'Scottish Literature1A - The Fantastic and the Real', 'Youth, Policy and Welfare: Cross-Cultural Perspectives', 'German Language for International Mobility 1', 'Introduction to Biological and Cognitive Psychology', 'Philosophy 1A: How should I think?', 'Spanish Language for International Mobility', 'Introduction to Creative Industries', ""What's the Point of Education? Constructing an Educational Mindset"", 'English Language & Linguistics 1A: Language, Meaning, and Power', 'Principles of Management']",80 ,6 ,not,No awardee details
University of Liverpool,https://iisma.kemdikbud.go.id/info/50-university-of-liverpool/,No requirement ,"['Designing Systems for the Digital Society', 'Living with Environmental Change', 'Introduction to Programming', 'Introduction to Language Study', 'Population and Societies', 'Critical, Analytical and Creative Thinking', 'Foundation of Law and Justice', 'Evolution', 'Cities and Regions', 'Global Economic and Business Environment', 'Creative Principles in Game Design', 'Global History of the Present', 'Music in Context: Why Music Matters', 'Film Cultures', 'Politics of International Human Rights', 'Business Ethics', 'Urban Sociology', 'Introduction to Communications and Media Studies A', 'Ethics: Moral Constraints and the Good Human Life', 'Power, Belief and Identity: Medieval and Early Modern Worlds, C. 500-1600 CE']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,No awardee details
University of Leeds,https://iisma.kemdikbud.go.id/info/26-university-of-leeds/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 88 Duolingo English Test: 110Never had TB/TBC infection ,"['Challenges in Transport and Mobility ', 'Principles of International Business', 'Introduction to Management', 'Starting Your Own Business', 'Science & Society: An Ethical View ', 'Introduction to Psychology ', 'Psychology in the Media ', 'History of Psychology', 'Diverse Contexts of Learning ', 'Natural Hazards', 'Arts and Cultural Management', 'Understanding Digital Media', 'Cultural History', 'International Politics', 'Beginners Korean', 'Beginners Japanese']",88,6.5,110Never,No awardee details
University of Sussex,https://iisma.kemdikbud.go.id/info/58-university-of-sussex/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 (with no band score less than 5.5) TOEFL iBT: 80 (18 reading, 17 writing, 17 listening, 20 speaking) Duolingo English Test: 105 (with no component less than 90)Never had TB/TBC infection ","['Social Change, Culture and Development', 'Research Skills for Development', 'Digital Environment', 'Global Cultures, Local Lives', 'Human Factors & Ergonomics', 'Critical Approaches 1', 'Global Issues', 'News, Politics and Power A', 'Introduction to Human Rights', 'Historical Controversy', 'Morality, Groups and Emotion', 'News, Politics and Power B', 'Understanding Global Migration', 'Modern Political Thought', 'Education for Development: Aid, Policy and the Global Agenda', 'Global Climate Change', 'Reason and Argument', 'Comparative Public Policy', 'Colonialism and After', 'Sussex Perspectives on International Development']",80,6,105,No awardee details
University of Warwick,https://iisma.kemdikbud.go.id/info/16-university-of-warwick/,"Academic: GPA of 3 or above on their studies to date English Language: IELTS: 6 (no band score less than 5.5) TOEFL iBT: 87 (minimum 22 for reading, 21 for listening, 21 for writing, 23 for speaking) Duolingo English Test: not acceptedNever had TB/TBC infection ","['Entrepreneurship: A Critical Perspective', 'Navigating Psychopathology', 'Multilingualism and Sustainable Development', 'Global Connections: A Transdisciplinary Approach', 'Local/Global Shakespearience', 'Censorship and Society', 'Inequalities and Sustainable Development: Inclusion and Dignity for All', 'Posthumous Geographies I: Underworlds', 'Achieving Sustainability: Potentials and Barriers', 'Challenges of Climate Change', 'The Energy Trilemma', 'Health and Sustainable Development', 'Security, Sovereignty and Sustainability in the Global Food System', 'Understanding Wellbeing: Theory and Practice', 'Sustainable Cities', 'Public Engagement']",87,6,not,No awardee details
University of York,https://iisma.kemdikbud.go.id/info/43-university-of-york/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 with no less than 6.0 in each component TOEFL iBT: 87 with a minimum of 21 in each component Duolingo English Test: 110 with a minimum of 100 in all other componentNever had TB/TBC infection ,"['Intercultural Competence, Employability and Academic Skills Module', 'Introduction to Media Technologies', 'Story', 'Approaches to Literature I: Writing Modernity', 'Introduction to Business Ethics & Sustainability', 'Political Analysis', 'Marketing Essentials', 'Introduction to Comparative Politics: Citizens, Parties, Elections ', 'Global Challenges: From Theory to Practice ', 'Knowledge & Perception', 'Prehistory to the Present ', 'A World of Literature I: Classics & Cultural Translations']",87,6.5,110,No awardee details
University College London,https://iisma.kemdikbud.go.id/info/02-university-college-london/,Academic: GPA of 3.3 or above on their studies to dateEnglish Language: IELTS: 7.0 (no band score below 6.5) TOEFL iBT: 96 (reading and writing minimum 24; listening and speaking minimum 22) Duolingo English Test: not acceptedNever had TB/TBC infection  ,"['Approaches to Knowledge: Introduction to Interdisciplinarity ', 'Information Through the Ages ', 'Computers and Humans ', 'Migration and Health', 'Race, Gender and Feminism', 'Art and Interdisciplinarity 2', 'The Art and Science of Public Health', 'Psychology in the Real World', 'Introduction into Politics: Key Concepts and Texts', 'Approaches to Global Po', 'Urban Inequalities and Global Development ', 'Art and Interdisciplinarity: Measuring the World', 'Interactions of Music and Science ', 'Sustainable Energy ', 'Logic, Computation and Language Theory ', 'Quantitative Methods 2: Data Science and Visualisation', 'Quantitative Methods 3: Models and Inference', 'Creative Writing', 'Qualitative Thinking: Research Methods in Cultural Analysis', 'Science Meets Religion in the Global Community']",96,7.0,not,No awardee details
Queen Mary University of London,https://iisma.kemdikbud.go.id/info/34-queen-mary-university-of-london/,No requirement ,"['London on Film: Representing the City in British and American Cinema', 'Historical Geographies of Medicine: From Imperial Hygiene to Global Health', 'Unravelling Britain: British History since 1801', 'London: Walking the City', 'British Horror: Film, Television and Literature', 'Consumer Psychology', 'Witches, Demons and Magic in Late Medieval and Early Modern Europe', 'The Buildings of London I: From the Ashes of Fire to the Capital of Empire', 'Fundamentals of Management', 'British Politics']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,<b>Applicants</b>Applicants : 26 students GPA : 3.04-4.00TOEFL iBT Score : 103-110IELTS Score : 6-8Duolingo English Test Score : 100<b>Awardees</b>Awardees : 4 students GPA : 3.67-3.82TOEFL iBT Score :  IELTS Score : 8Duolingo English Test Score : 
