univName,link,univRequirementDetail,univCourse,toefl,ielts,det,awardee
Nanyang Technological University,https://iisma.kemdikbud.go.id/info/04-nanyang-technological-university/,Academic: GPA of 3.3 or above on their studies to dateEnglish Language: IELTS: 6 (writing band score no less than 6) TOEFL iBT: 90 Duolingo English Test: 125 ,"['Venturing into Entrepreneurship', 'Leadership in the 21st Century', 'Introduction to Computational Thinking', 'Introduction to Geography', 'E-Startups & Social Media Strategies', 'New Venture Financing', 'Cultural Intelligence: How to be an Explorer of the World', 'Marketing for the 21st Century', 'Management Decision Tools', 'Introduction to Literature', 'Natural Hazards and Society']",90,6,125,ApplicantsApplicants : 112 students GPA : 3.12-4.00TOEFL iBT Score : 100-109 IELTS Score : 6-8.5Duolingo English Test Score : 105-155AwardeesAwardees : 25 studentsGPA : 3.33-3.99TOEFL iBT Score : IELTS Score : 8-8.5 Duolingo English Test Score : 135-155
Keio University,https://iisma.kemdikbud.go.id/info/52-keio-university/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 6.0 TOEFL iBT: 78 Duolingo English Test: 100 ,"['MANAGEMENT OF EMERGING BUSINESSES', 'INTERNATIONAL FINANCE', 'REGION AND SOCIETY (ASIA-PACIFIC) ', 'ENVIRONMENT RISK SCIENCE', 'MUSIC AND THE BRAIN ', 'HAPTIC SCIENCE AND TECHNOLOGY', 'DESIGN OBSERVATION', 'NATIONAL SECURITY POLICY', 'MULTINATIONAL MANAGEMENT ', 'CHOICES AND FREEDOM', 'HISTORY OF MUSIC', 'GEOGRAPHY OF PLANNING PRACTICE', 'GOVERNANCE AND INSTITUTIONS(LOCAL GOVERNMENT) ', 'ASIA WORKSHOP', 'INTRODUCTION TO SECOND LANGUAGE LEARNING AND TEACHING', 'REGION AND CULTURE (ASIA-PACIFIC) ', 'ANALYTICAL FRAMEWORK FOR POLICY DESIGN ']",78,6.0,100,No awardee details
National Taiwan University,https://iisma.kemdikbud.go.id/info/18-national-taiwan-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.0 TOEFL iBT: 78 Duolingo English Test: 100 ,"['Modern English Poetry', 'History of Ancient Greek Literature', 'Exploring Taiwan: Natural Resources Conservation and Management ', 'Developments of Information and Communication Technologies', 'Biology in the movies ', 'Trends in Plant Science ', 'Exploring Taiwan: Agricultural and food biotechnology ', 'Computer Programming in Python ', 'Philosophy of Space and Time ', 'Edible Insects ', 'Ancient Greek and Introduction to the Sciences of the Antiquity', 'Exploring Taiwan: natural environment and resources ', 'Global Competence with Internationalization at Home ', 'General Biology (b)(1) ', 'Archiving Nature: Introduction to the Natural History Museums ', 'Introduction to Nutrition and Food ', 'Essentials of Global Health ', 'Western Philosophy of Religion ', 'Exploring Taiwan: Biomedical Development and Diseases ', 'International Companions for Learning']",78,6.0,100,ApplicantsApplicants : 240 studentsGPA : 3.04-4.00TOEFL iBT Score : 86-97 IELTS Score : 6.5-7.5Duolingo English Test Score : 85-150AwardeesAwardees : 20 students GPA : 3.28-3.98TOEFL iBT Score :  IELTS Score : 7.5Duolingo English Test Score : 135-150
Chulalongkorn University,https://iisma.kemdikbud.go.id/info/55-chulalongkorn-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 80 Duolingo English Test: 105 ,"['Human Anatomy and Physiology', 'Food and Drug Technology for Wellbeing', 'Smart City and Urban Development', 'Technology, Globalization, & Sustainable Development', 'Socioeconomic Transformation for Sustainability', 'IoT/Embedded Systems', 'Big Data Analytics', 'Digital Trust, Privacy & Security (Blockchain)', 'Intellectual Property and Data Security Management', 'Stakeholder Engagement for Innovators']",80,6.5,105,"ApplicantsApplicants : 182 students GPA : 3.05-4.00TOEFL iBT Score : 83-96IELTS Score : 6.5-7.5Duolingo English Test Score : 75-145AwardeesAwardees : 6GPA : 3.56-3.88TOEFL iBT Score : IELTS Score : Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">135-145</span>"
Middle East Technical University,https://iisma.kemdikbud.go.id/info/73-middle-east-technical-university/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6,5 TOEFL iBT: 79 Duolingo English Test: 92 ","['ENGINEERING ECONOMY', 'SYSTEMS THINKING', 'BUSINESS COMMUNICATION I', 'BUSINESS COMMUNICATION II', 'CROSS CULTURAL STUDIES IN ORGANIZATIONS', 'EXPLORING ENVIRONMENTAL HISTORY', 'INTRODUCTION TO POLITICS I', 'LOCATING EUROPE IN A GLOBALISED WORLD', 'MARKETING AND CULTURE', 'TURKISH BUSINESS ENVIRONMENT', 'SOCIETY AND CULTURE IN EURASIA', 'ECONOMY, SOCIETY, AND CIVILIZATION I', 'TOPICS IN SOCIAL PSYCHOLOGY', 'HISTORY OF ECONOMIC THOUGHT', 'BUILDING RESILIENCE THROUGH ADAPTIVE LEADERSHIP', 'SOCIETY AND CULTURE', 'STATE AND SOCIETY IN TURKEY', 'LANGUAGE AND CULTURE', 'ADVANCED WRITING RESEARCH SKILLS', 'THE NEW ECONOMY OF INDUSTRY 4.0']",79,"6,5",92,"ApplicantsApplicants : 551 students GPA : 3.00-4.00TOEFL iBT Score : 94IELTS Score : 6-7.5Duolingo English Test Score : 0-140AwardeesAwardees : 10 students GPA : 3.44-3.93TOEFL iBT Score : IELTS Score : 7 Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">135-140</span>"
The Australian National University,https://iisma.kemdikbud.go.id/info/09-the-australian-national-university/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 (no band score less than 6) TOEFL iBT: 80 (minimum 20 for reading and writing, minimum 18 for listening and speaking) Duolingo English Test: not acceptedNever had TB/TBC infectionOn 11 April 2023, applicants are required to have a passport with at least one year validity ","[""Australia's Environment"", 'Pacific Worlds: Critical Inquiry in Oceania', 'Peacebuilding and Conflict Resolution', 'The Indigenous Economy', ""First Peoples' Experiences and Ways of Being: Resilience, Agency, Resurgence and Rights"", 'The Origins of Political Order in Asia', 'Natural Resource Conflicts in Asia and the Pacific', 'Australian Political History', 'International Relations in the Asia-Pacific', 'Reading Popular Culture: An Introduction to Cultural Studies', 'Contemporary Australian Indigenous Music Studies', 'Australian Political Institutions', 'Traditional Australian Indigenous Cultures, Societies and Environment', 'Global Citizen: Culture, Development and Inequality']",80,6.5,not,ApplicantsApplicants : 109 students GPA : 3.12-4.00TOEFL iBT Score : 96-108 IELTS Score : 6.5-8DET Score : 80-160AwardeesAwardees : 10 students GPA : 3.49-3.96TOEFL iBT Score :  IELTS Score :  Duolingo English Test Score : 140-150 
The University of Adelaide,https://iisma.kemdikbud.go.id/info/32-the-university-of-adelaide/,No requirement ,"['Climate Change', 'Cognitive Science: Minds, Brains & Computers', 'Health and Illness in Populations', 'Opportunity Assessment', 'Social Problems', 'Cities and Sustainability', 'Introduction to Global Politics ', 'Cyber-Politics: Politics & the Internet Revolution', 'Empowerment, Gender & Community Development', 'Sustaining work and business for a just society', 'International Business Operations', 'Entrepreneurial Foundations and Mindset', 'Introduction to Social Research', 'Information Risks, Threats & Controls', 'Using Big Data for Economic and Social Problems I', 'Introduction to Marketing', 'Managing Organisations and People', 'Asia and the World', 'Sound & Media', 'Psychology IB']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,ApplicantsApplicants : 56 students GPA : 3.09-4.00TOEFL iBT Score :0-114 IELTS Score : 6.5-8.5Duolingo English Test Score :  <b>Awardees</b>Awardees : 8 students GPA : 3.58-3.96 TOEFL iBT Score :  IELTS Score : 7.5-8.5Duolingo English Test Score :  
The University of Queensland,https://iisma.kemdikbud.go.id/info/14-the-university-of-queensland/,"Academic: GPA of 3.0 or above on their studies to dateEnglish Language:  IELTS: 6.5 TOEFL iBT: 87  Duolingo English Test: 100 Never had TB/TBC infectionOn 11 April 2023, applicants are required to have a passport with at least one year validity. ","['Communication Across Cultures: Theory and Practice', 'Media and Society', 'Design: Experience', 'Aboriginal & Torres Strait Islander Health', 'The Science of Everyday Thinking', 'The Psychology of Communication', 'Planet Earth: The Big Picture']",87 ,6.5,100 Never,ApplicantsApplicants : 30 studentsGPA : 3.05-4.00TOEFL iBT Score : IELTS Score : 6.5-8Duolingo English Test Score : 105-120<b>Awardees</b>Awardees : 10 studentsGPA : 3.32-3.94TOEFL iBT Score : IELTS Score : 7-8Duolingo English Test Score : 
University of Sydney,https://iisma.kemdikbud.go.id/info/11-university-of-sydney/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 (no band score less than 6) TOEFL iBT: 85 (minimum 19 for listening, 17 for writing, 17 for speaking, 17 for reading) Duolingo English Test: 100 (no component less than 100)Never had TB/TBC infectionOn 11 April 2023, applicants are required to have a passport with at least one year validity. ","['Learning in Outdoor Education', 'Sport and Learning in Australian Culture', 'Introduction to Indigenous History', 'Cross-Cultural Management', 'Global America', 'Foundations of Data Science', 'Introductory Geography', 'Digital Work Environments', 'What is this Thing Called Science?', 'Diet and Nutrition for Health and Sport\t']",85,6.5,100,ApplicantsApplicants : 18 students GPA : 3.15-3.97TOEFL iBT Score : 87-102IELTS Score : 6.5-8.5Duolingo English Test Score : 100-120 <b>Awardees</b>Awardees : 7 students GPA : 3.60-3.97TOEFL iBT Score : 102IELTS Score : 7-8Duolingo English Test Score :  
University of Auckland,https://iisma.kemdikbud.go.id/info/25-university-of-auckland/,No requirement ,"['A Sustainable World', 'Child Development', 'Contemporary Topics in Educational Psychology', 'Current Issues in TESOL', 'Digital Communication and Practice', 'Media and Culture', 'New Zealand Social Policy and Social Justice ', 'Pacific Innovation and Sustainability ', 'Pedagogy - Beyond Skills and Methods', 'Sociology of Health, Illness and Medicine', 'TESOL Education in Context', 'Digital Communication Ethics ', 'Eco/media', 'Education and Social Justice', 'Educational Philosophy and Policy', 'Environmental Sociology ', 'Gifted Education', 'Hauora', 'Introducing TESOL Education', 'The Contemporary Pacific ']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,No awardee details
University of Melbourne,https://iisma.kemdikbud.go.id/info/10-university-of-melbourne/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 (no band score less than 6) TOEFL iBT: 79 (minimum 13 for reading and listening, 21 for writing, 18 for speaking) Duolingo English Test: not acceptedNever had TB/TBC infectionOn 11 April 2023, applicants are required to have a passport with at least one year validity. ","['Media Industries & Technological Change', 'Entrepreneurship for Sustainability', 'AI, Ethics and the Law', 'Natural History', 'Principles of Marketing', 'Smart Transportation', 'Food for a Healthy Planet II', 'Street Art ', 'Urban Design for People and Places ', 'Our Planet, Our Health ', 'Global Cultures ', 'Thinking Tools for Wicked Problems ', 'Drugs that Shape Society ', 'Biology of Australian Flora & Fauna ', 'Inside the City of Diversity ', 'Going Places - Travelling Smarter ', 'Engineering Modelling and Design', 'Entrepreneurship Principles and Tools', 'Managing People at Work']",79,6.5,not,No awardee details
Monash University,https://iisma.kemdikbud.go.id/info/15-monash-university/,"Academic: GPA of 3.0 of above on their studies to dateEnglish Language:  IELTS: 6.5 TOEFL iBT: 79 Duolingo English Test: 125Never had TB/TBC infectionOn 11 April 2023, applicants are required to have a passport with at least one year validity. ","['Spatial Communication in Engineering', 'Economics for Entrepreneurs', 'Business in Asia', 'Healthcare Systems', 'Science Communication to Influence Change']",79,6.5,125Never,ApplicantsApplicants : 60 studentsGPA : 3.06-4.00TOEFL Score : 79-114IELTS Score : 6.5-8Duolingo English Test Score : 100-130 AwardeesAwardees : 10 studentsGPA : 3.34-3.89TOEFL iBT Score : 114IELTS Score : 7.5-8Duolingo English Test Score :  
